,PseudoTime1,PseudoTime2
E932_584,0.73058,
E100_227,0.28321,
E533_130,,0.16165
E1693_68,,0.08396
E849_88,0.10902,
E327_382,0.47744,
E1357_559,,0.69925
E200_781,0.97744,
E658_533,0.66667,
E51_125,,0.15539
E1735_647,,0.80952
E1598_160,0.19925,
E1194_574,,0.71805
E1981_642,0.8032600000000001,
E494_505,0.63158,
E1063_480,,0.60025
E1272_82,,0.1015
E702_419,,0.52381
E1470_373,,0.46617
E420_430,0.53759,
E1325_589,,0.7368399999999999
E184_2,0.00125,
E734_690,,0.86341
E164_11,0.01253,
E933_750,0.9386,
E1542_216,,0.26942
E1734_606,0.75815,
E1467_109,0.13534000000000002,
E496_315,,0.39348
E983_359,0.44861999999999996,
E529_161,0.2005,
E907_393,0.49123,
E1339_396,0.49499,
E1433_588,0.73559,
E471_249,0.31078,
E698_48,,0.0589
E1603_21,0.02506,
E1619_66,0.08145,
E617_153,0.19047999999999998,
E1500_551,,0.6892199999999999
E1819_448,,0.56015
E1730_531,,0.6641600000000001
E595_238,0.29699000000000003,
E53_342,0.42732,
E1661_261,,0.32581
E1754_12,,0.01378
E1040_424,0.53008,
E191_723,0.90476,
E1412_444,0.55514,
E1173_86,0.10652,
E1562_320,0.39975,
E213_150,,0.18672
E67_185,0.23058,
E352_162,0.20175,
E241_726,,0.9085200000000001
E996_326,0.40726999999999997,
E815_117,,0.14536
E1313_119,0.14787,
E1087_609,0.7619,
E1198_170,0.21178000000000002,
E1118_274,,0.34210999999999997
E138_181,0.22555999999999998,
E1733_798,0.99875,
E848_714,0.8934799999999999,
E968_409,,0.5112800000000001
E956_616,0.77068,
E110_173,0.21554,
E1492_705,0.88221,
E1534_89,0.11027999999999999,
E791_652,0.81579,
E1453_211,0.26316,
E1360_739,,0.92481
E267_324,,0.40476
E1370_763,0.95489,
E230_488,0.61028,
E44_714,0.8934799999999999,
E545_760,,0.9511299999999999
E1949_173,,0.21554
E144_283,,0.35338
E1859_209,0.26065,
E1361_530,0.66291,
E699_78,0.09648999999999999,
E1133_112,,0.1391
E1093_741,,0.92732
E314_59,,0.07268
E274_509,,0.63659
E941_340,,0.42481
E772_326,,0.40726999999999997
E285_423,0.52882,
