,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E1499_495,0.61905,,,
E691_298,0.37218,,,
E1878_774,0.96867,,,
E1981_669,,,0.83709,
E1665_52,,,0.06391000000000001,
E1357_41,,,0.05013,
E1511_705,,,0.88221,
E1258_38,,0.04637,,
E1771_632,0.79073,,,
E1158_669,,,0.83709,
E434_455,0.56892,,,
E436_671,0.8396,,,
E469_287,0.3584,,,
E1271_39,,,,0.047619999999999996
E676_252,0.31454,,,
E1084_327,0.40852,,,
E1420_321,0.401,,,
E159_266,,0.33208000000000004,,
E1137_82,0.1015,,,
E1176_71,0.08772,,,
E1355_342,0.42732,,,
E564_232,,,0.28947,
E1545_328,0.40976999999999997,,,
E272_99,0.12280999999999999,,,
E1989_207,0.25815,,,
E1593_329,0.41103,,,
E1978_262,0.32706999999999997,,,
E334_247,,,,0.30827
E1381_616,0.77068,,,
E834_137,,,,0.17043
E913_87,0.10777,,,
E1165_30,0.03634,,,
E383_271,0.33835,,,
E1270_486,0.60777,,,
E362_94,,,0.11654,
E355_335,0.41855,,,
E1419_621,,,0.77694,
E1937_646,0.8082699999999999,,,
E25_700,0.8759399999999999,,,
E1054_175,,0.21805,,
E1103_682,0.8533799999999999,,,
E789_378,,0.47243,,
E1798_525,0.65664,,,
E762_283,0.35338,,,
E1549_581,,,,0.72682
E1542_727,0.9097700000000001,,,
E1211_136,,,,0.16917000000000001
E844_691,,0.86466,,
E1305_545,0.6817,,,
E1010_202,0.25188,,,
E1021_196,,,0.24436,
E1519_637,,,,0.79699
E740_354,,,,0.44236000000000003
E775_654,,,0.8183,
E1216_362,0.45238,,,
E1827_144,0.1792,,,
E1648_146,0.1817,,,
E604_151,,,0.18797,
E1441_563,,0.70426,,
E1775_454,0.56767,,,
E372_670,0.83835,,,
E887_403,0.50376,,,
E441_46,0.056389999999999996,,,
E1888_451,0.56391,,,
E1559_319,,,,0.3985
E1284_28,0.03383,,,
E609_13,,0.015040000000000001,,
E125_632,,,0.79073,
E1996_519,0.64912,,,
E663_439,,,,0.54887
E1699_253,,,,0.31579
E954_61,0.07518999999999999,,,
E1644_754,0.9436100000000001,,,
E120_657,,0.82206,,
E414_611,0.76441,,,
E1872_714,0.8934799999999999,,,
E1447_34,0.04135,,,
E193_743,0.9298200000000001,,,
E1259_266,0.33208000000000004,,,
E1736_237,0.29574,,,
E63_772,0.9661700000000001,,,
E192_172,0.21429,,,
E1129_108,,,,0.13409000000000001
E151_157,0.19549,,,
E1474_739,,,0.92481,
E1227_492,,,0.61529,
E1806_173,,,0.21554,
E1433_794,0.9937299999999999,,,
E3_545,,0.6817,,
E1876_755,0.94486,,,
E163_627,,,0.78446,
E915_693,0.8671700000000001,,,
E883_549,0.68672,,,
E774_590,0.7381,,,
E14_108,0.13409000000000001,,,
E1009_753,,,,0.9423600000000001
E302_165,0.20551,,,
E862_309,0.38595999999999997,,,
