,PseudoTime1,PseudoTime2
E782_261,,0.32581
E1706_107,0.13283,
E1063_38,,0.04637
E713_656,,0.8208
E1812_47,0.05764,
E1822_659,,0.8245600000000001
E1088_573,0.7167899999999999,
E636_545,,0.6817
E1882_300,,0.37469
E1583_88,,0.10902
E1395_642,,0.8032600000000001
E1763_98,0.12155,
E119_312,,0.38971999999999996
E833_114,,0.1416
E1257_448,0.56015,
E308_631,,0.78947
E1940_590,,0.7381
E218_439,,0.54887
E648_20,0.023809999999999998,
E61_565,,0.70677
E708_468,0.58521,
E1143_649,0.81203,
E1847_104,0.12907000000000002,
E987_357,0.44611999999999996,
E1958_411,,0.51378
E1059_793,0.9924799999999999,
E1087_180,,0.22430999999999998
E394_760,,0.9511299999999999
E1237_206,,0.25689
E1083_752,0.9411,
E626_31,0.03759,
E1403_628,,0.78571
E1311_550,,0.68797
E685_242,0.30201,
E1625_253,,0.31579
E837_359,,0.44861999999999996
E1407_735,0.9198,
E643_625,,0.78195
E871_606,,0.75815
E90_354,0.44236000000000003,
E1222_52,,0.06391000000000001
E114_350,0.43733999999999995,
E971_276,,0.34460999999999997
E1798_641,0.80201,
E18_549,,0.68672
E1981_77,0.09523999999999999,
E50_798,,0.99875
E514_692,,0.8659100000000001
E1349_661,,0.8270700000000001
E1495_285,0.35589,
E861_418,0.52256,
E28_438,0.54762,
E1865_775,,0.9699200000000001
E518_17,,0.02005
E1480_149,0.18545999999999999,
E1363_610,0.7631600000000001,
E1810_284,0.35464,
E1808_610,0.7631600000000001,
E1137_767,0.9599,
E1945_261,,0.32581
E1262_619,0.77444,
E995_445,0.5563899999999999,
E1621_484,0.60526,
E73_308,,0.38471
E141_219,,0.27318000000000003
E1103_142,0.17669,
E1565_320,,0.39975
E392_777,0.9724299999999999,
E1378_158,,0.19674
E526_281,,0.35088
E1796_745,,0.9323299999999999
E1547_674,,0.84336
E1606_529,,0.66165
E76_387,0.48371000000000003,
E503_243,,0.30326
E1965_736,,0.92105
E222_737,,0.9223100000000001
E1974_98,,0.12155
E1012_522,0.65288,
E1370_383,,0.4787
E512_64,,0.07895
E1534_355,,0.44361000000000006
E1723_600,0.75063,
E471_747,0.93484,
E1409_60,,0.07393
E1022_513,0.6416,
E957_521,,0.65163
E1282_688,0.8609,
E517_380,0.47494,
E1508_245,,0.30576
E960_349,,0.43609
E1530_300,,0.37469
E1225_211,,0.26316
E1952_755,,0.94486
E925_421,,0.52632
E246_60,0.07393,
E1673_549,,0.68672
E1675_640,,0.80075
E290_553,0.6917300000000001,
E1631_383,,0.4787
E1072_707,,0.88471
E1656_35,0.04261,
E1474_793,,0.9924799999999999
E1114_464,,0.5802
E179_126,0.15664,
E415_73,,0.09022999999999999
E265_500,0.62531,
E523_216,0.26942,
E1412_753,0.9423600000000001,
E1581_150,0.18672,
E396_694,,0.8684200000000001
E776_423,,0.52882
E785_247,0.30827,
E181_550,,0.68797
E585_672,,0.84085
E618_793,0.9924799999999999,
E40_678,0.8483700000000001,
E1568_612,,0.76566
E1142_428,,0.53509
E745_330,,0.41228000000000004
E1373_401,,0.50125
E902_11,,0.01253
E486_97,0.1203,
E1060_610,0.7631600000000001,
E488_550,,0.68797
E65_284,,0.35464
E377_189,0.23559000000000002,
E920_158,,0.19674
E909_566,,0.70802
E1289_502,,0.6278199999999999
E779_295,,0.36841999999999997
E678_743,,0.9298200000000001
E1507_587,,0.73434
E919_71,0.08772,
E642_690,0.86341,
E369_550,,0.68797
E1295_202,0.25188,
E1046_445,,0.5563899999999999
E1772_26,0.031330000000000004,
E203_202,,0.25188
E1497_730,0.91353,
E1916_704,0.88095,
E783_166,,0.20676999999999998
E1264_568,0.71053,
E935_540,,0.6754399999999999
E1080_193,,0.2406
E398_709,,0.8872200000000001
E1153_707,0.88471,
E1862_327,0.40852,
E42_610,,0.7631600000000001
E1434_226,,0.28195
E1183_519,,0.64912
E129_232,0.28947,
E44_351,0.4386,
E462_731,,0.91479
E1690_183,,0.22807
E727_581,0.72682,
E382_68,,0.08396
E192_547,,0.68421
E1490_695,0.86967,
E662_562,,0.70301
E504_580,0.72556,
E950_642,,0.8032600000000001
E279_320,,0.39975
E1724_627,0.78446,
E692_99,0.12280999999999999,
E554_654,0.8183,
E1521_173,0.21554,
E915_339,,0.42356000000000005
E1286_188,,0.23434000000000002
E469_249,0.31078,
E1167_116,,0.14411
E1218_191,,0.2381
E592_327,0.40852,
E36_734,0.91855,
E1353_516,,0.64536
E1905_436,,0.54511
E658_697,0.87218,
E1213_413,,0.5162899999999999
E764_647,0.80952,
E60_505,0.63158,
E1744_452,0.56516,
E700_98,0.12155,
E1886_196,,0.24436
E979_705,,0.88221
E874_350,,0.43733999999999995
E1558_485,,0.60652
E1004_587,0.73434,
E1909_158,,0.19674
E724_693,,0.8671700000000001
E1266_372,,0.46491000000000005
E74_47,,0.05764
E1902_361,0.45113000000000003,
E48_74,0.09147999999999999,
E152_498,,0.6228100000000001
E849_293,,0.36591
E997_460,,0.57519
E1_70,,0.08647
E1938_788,,0.9862200000000001
E1901_593,,0.74185
E1477_287,,0.3584
E800_643,0.8045100000000001,
E1005_275,,0.34336
E1590_797,0.99749,
E953_434,,0.54261
E896_371,,0.46366
E1681_507,,0.6340899999999999
E574_226,,0.28195
E1948_274,0.34210999999999997,
E1406_214,0.26692,
E446_337,,0.42105
E854_150,0.18672,
E254_292,0.36466,
E1071_27,,0.03258
E1616_546,0.68296,
E349_356,,0.44486000000000003
E1399_535,,0.6691699999999999
E409_16,,0.0188
E1382_705,,0.88221
E1836_416,0.52005,
E622_167,0.20801999999999998,
E1338_271,,0.33835
E1340_398,0.49749,
E1833_123,0.15288,
E750_69,,0.08521000000000001
E1369_662,0.8283200000000001,
E1588_754,,0.9436100000000001
E333_472,,0.59023
E350_459,,0.57393
E1516_201,,0.25063
E991_739,,0.92481
E1578_152,0.18922,
E1220_247,0.30827,
E1781_139,,0.17293
E1664_761,,0.9523799999999999
E1854_641,,0.80201
E773_576,,0.72055
E561_539,,0.67419
E1186_484,,0.60526
E732_244,0.30451,
E151_514,0.64286,
E1852_420,,0.5250600000000001
E1134_308,0.38471,
E1617_712,,0.8909799999999999
