,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E516_129,,,0.1604,
E1045_285,,,,0.35589
E1682_175,,0.21805,,
E313_701,,,0.8771899999999999,
E1363_289,,,0.3609,
E1994_595,,,,0.74436
E1985_527,,,0.65915,
E1327_115,,,0.14286,
E35_596,,,0.74561,
E1145_747,,0.93484,,
E566_161,,,,0.2005
E568_525,,0.65664,,
E224_395,,,0.49373,
E1747_110,,0.13659000000000002,,
E739_770,,0.9636600000000001,,
E1282_163,,0.20301,,
E178_236,,0.29449000000000003,,
E1207_353,0.4411,,,
E1455_668,,,0.8358399999999999,
E122_643,0.8045100000000001,,,
E1166_142,,0.17669,,
E109_606,,0.75815,,
E1964_474,,0.59273,,
E1585_127,,,0.15789,
E744_438,,0.54762,,
E1136_12,,0.01378,,
E173_637,,,0.79699,
E1126_706,,,,0.88346
E670_648,,,0.8107800000000001,
E1287_136,,,,0.16917000000000001
E1359_740,0.9260700000000001,,,
E1962_778,,0.9736799999999999,,
E475_405,,,0.50627,
E1264_380,,0.47494,,
E829_441,0.55138,,,
E1739_216,,,,0.26942
E213_740,,,0.9260700000000001,
E402_677,,,,0.8471200000000001
E1620_250,,,0.31203000000000003,
E128_35,,0.04261,,
E372_369,,0.46115,,
E179_294,,0.36717,,
E992_643,,,0.8045100000000001,
E1251_84,,,,0.10400999999999999
E363_25,,0.030080000000000003,,
E1242_733,,0.9172899999999999,,
E1108_452,,,0.56516,
E674_755,,0.94486,,
E1813_452,0.56516,,,
E515_720,,,,0.9009999999999999
E1294_363,,0.45363000000000003,,
E1873_474,,,,0.59273
E1356_343,,,0.42857,
E716_226,,0.28195,,
E1690_132,,0.16416,,
E1431_383,,0.4787,,
E726_540,,0.6754399999999999,,
E160_26,,0.031330000000000004,,
E1683_687,,0.85965,,
E471_557,0.6967399999999999,,,
E1131_126,,,0.15664,
E1274_753,,0.9423600000000001,,
E1392_135,,,0.16792,
E1565_617,,0.77193,,
E541_746,,,0.93358,
E369_449,0.5614,,,
E1253_706,,,,0.88346
E534_70,,,,0.08647
E1025_778,,,0.9736799999999999,
E469_428,0.53509,,,
E1710_239,,,0.29825,
E193_417,,,0.5213,
E190_133,,0.16541,,
E1261_774,,,0.96867,
E1951_43,,,0.052629999999999996,
E1668_105,,0.13033,,
E1984_91,,0.11277999999999999,,
E1139_784,,,0.9812,
E1388_116,,0.14411,,
E884_632,0.79073,,,
E1456_148,,,0.18420999999999998,
E360_444,,0.55514,,
E1653_33,,0.0401,,
E611_747,,,0.93484,
E1453_299,,,0.37343000000000004,
E1993_706,,,0.88346,
E297_164,,,,0.20426
E1995_786,,,0.9837100000000001,
E1614_546,,,0.68296,
E1667_39,,0.047619999999999996,,
E1200_20,,0.023809999999999998,,
E600_54,,0.06642,,
E1956_133,,,,0.16541
E1704_116,,,,0.14411
E117_766,,,0.95865,
E838_580,,0.72556,,
E503_313,,,,0.39098
E692_328,,,0.40976999999999997,
E219_418,0.52256,,,
E1543_525,,0.65664,,
E906_482,,,0.6027600000000001,
E1917_140,,,,0.17419
E1910_731,,0.91479,,
E344_375,,,0.46867,
E523_328,,0.40976999999999997,,
E456_694,0.8684200000000001,,,
E170_467,,,,0.58396
E1976_541,,0.67669,,
E1673_6,,,,0.00627
E396_273,,,0.34085,
E1769_103,,,0.12782000000000002,
E761_323,,0.40351,,
E1296_99,,0.12280999999999999,,
E65_571,,0.71429,,
E398_185,,,0.23058,
E1991_627,,,0.78446,
E26_381,,,0.47618999999999995,
E1047_500,0.62531,,,
E1809_604,,,0.75564,
E217_328,,,,0.40976999999999997
E1225_706,,0.88346,,
E1101_761,,0.9523799999999999,,
E256_464,,,0.5802,
E1209_234,,,,0.29198
E278_174,,0.21679,,
E1181_59,,0.07268,,
E1520_180,,0.22430999999999998,,
E258_294,0.36717,,,
E673_763,,,,0.95489
E578_37,,0.045110000000000004,,
E1081_735,,,,0.9198
E1236_625,,0.78195,,
E480_392,,,0.48996999999999996,
E1410_186,,0.23183,,
E528_364,,,0.45488999999999996,
E296_274,0.34210999999999997,,,
E571_610,,,,0.7631600000000001
E729_225,,0.2807,,
E553_605,0.75689,,,
E403_431,,,0.53885,
E1498_184,,,0.22931999999999997,
E21_647,,,0.80952,
E1635_781,,0.97744,,
E705_349,,,,0.43609
E1059_175,,0.21805,,
E806_703,,0.8797,,
E1104_558,,0.69799,,
E1835_139,,0.17293,,
E730_750,0.9386,,,
E354_365,,0.45614,,
E1973_671,,,0.8396,
E1073_155,,,0.19297999999999998,
E1039_522,,0.65288,,
E634_762,,0.95363,,
E1297_108,,,0.13409000000000001,
E108_292,,0.36466,,
E606_289,,,,0.3609
E1521_144,,,0.1792,
E1134_750,,,,0.9386
E856_349,0.43609,,,
E1800_251,0.31328,,,
E937_407,,,,0.50877
E1858_654,,,0.8183,
E412_753,,,0.9423600000000001,
E1829_444,0.55514,,,
E1497_709,0.8872200000000001,,,
E860_465,,0.58145,,
E1807_395,,,0.49373,
E1266_48,,,0.0589,
E807_156,0.19424,,,
E899_67,,,,0.08271
E1740_450,,,0.56266,
E532_16,,0.0188,,
E629_635,,0.7944899999999999,,
E1828_708,,,0.8859600000000001,
E710_399,,0.49875,,
E316_294,,0.36717,,
E959_783,,0.97995,,
E1971_400,0.5,,,
E368_145,,0.18045,,
E1368_329,,0.41103,,
E446_119,,,,0.14787
E575_612,,0.76566,,
E1292_470,,,0.58772,
E983_6,,0.00627,,
E1636_439,,0.54887,,
E1554_167,,0.20801999999999998,,
E1183_275,,0.34336,,
E785_620,,0.77569,,
E487_636,,,,0.79574
E232_578,0.72306,,,
E1415_640,,0.80075,,
E684_643,,0.8045100000000001,,
E1568_45,,0.055139999999999995,,
E779_58,0.07143,,,
E1672_786,,,0.9837100000000001,
E38_348,,0.43483999999999995,,
E896_525,,,0.65664,
E1005_405,,0.50627,,
E708_633,,0.79198,,
E638_689,,0.86216,,
E985_760,,0.9511299999999999,,
E1369_575,,0.7193,,
E1488_514,,0.64286,,
E1504_729,,,,0.91228
E91_595,,0.74436,,
E42_676,,0.8458600000000001,,
E1880_178,,,0.2218,
E1553_303,,0.37845,,
E1160_383,,0.4787,,
E1846_6,,0.00627,,
E1202_446,,0.5576399999999999,,
E1723_456,,,,0.57018
E1430_476,,0.59524,,
E1445_63,0.07769,,,
E617_472,,0.59023,,
E1914_306,,0.38221,,
E1821_744,,0.9310799999999999,,
E11_113,,0.14035,,
E429_474,,0.59273,,
E205_793,,0.9924799999999999,,
E1365_768,,0.96115,,
E199_545,,,0.6817,
E1677_251,,,0.31328,
E370_384,,0.47995,,
E454_104,,0.12907000000000002,,
E732_765,,,0.95739,
E1211_274,0.34210999999999997,,,
E418_736,0.92105,,,
E697_662,,0.8283200000000001,,
E656_596,,,,0.74561
E314_252,,,,0.31454
E1607_734,,,,0.91855
E1174_749,,0.93734,,
E443_480,,0.60025,,
E1547_89,0.11027999999999999,,,
E1238_204,0.25439,,,
E527_487,,0.60902,,
E928_653,,0.81704,,
E346_392,0.48996999999999996,,,
E152_199,,,0.24811999999999998,
E1926_11,,0.01253,,
E183_140,,0.17419,,
E463_392,0.48996999999999996,,,
E711_26,0.031330000000000004,,,
E963_253,,,0.31579,
E1304_608,0.76065,,,
E778_589,,0.7368399999999999,,
E144_329,,,,0.41103
E357_205,,0.25564000000000003,,
E85_436,,,0.54511,
E1135_86,,0.10652,,
E1203_53,,,0.06516,
E1477_318,,,0.39724,
E1860_564,,0.7055100000000001,,
E1874_625,0.78195,,,
E1033_165,,,0.20551,
E1068_772,,,0.9661700000000001,
E76_445,,,,0.5563899999999999
E1042_23,,,,0.027569999999999997
E143_80,,0.099,,
E1651_737,,0.9223100000000001,,
E1718_119,0.14787,,,
E1783_615,,0.76942,,
E552_470,0.58772,,,
E712_644,,,0.80576,
E165_1,,0.0,,
E0_337,,,,0.42105
E249_635,,,0.7944899999999999,
E1912_411,,,,0.51378
E1204_570,,,0.71303,
E798_68,,,0.08396,
E1671_648,,0.8107800000000001,,
E678_659,,0.8245600000000001,,
E422_263,,0.32832,,
E1206_311,,,0.38847,
E1918_479,,,0.599,
E1741_39,0.047619999999999996,,,
E620_559,,0.69925,,
E1689_278,,0.34712,,
E385_479,,,0.599,
E810_435,,,0.54386,
E28_209,,,0.26065,
E1347_406,,0.50752,,
E1845_582,,0.72807,,
E1967_704,,,0.88095,
E605_191,,0.2381,,
E1766_213,,,0.26566,
E89_756,,0.9461200000000001,,
E1483_137,,0.17043,,
E57_791,,0.9899700000000001,,
E1082_17,,,0.02005,
E495_122,,,0.15163,
E1833_282,,0.35213,,
E915_779,0.9749399999999999,,,
E776_707,,0.88471,,
E1598_482,,0.6027600000000001,,
E1908_231,,0.28822,,
E849_503,,0.62907,,
E240_684,,,0.8558899999999999,
E1945_135,,,,0.16792
E1925_251,0.31328,,,
E201_132,,0.16416,,
E257_630,,0.78822,,
E974_448,0.56015,,,
E245_331,,,0.41353,
E340_296,,0.36967,,
E1641_110,0.13659000000000002,,,
E1085_596,,,0.74561,
E216_136,,,0.16917000000000001,
E1032_262,0.32706999999999997,,,
E735_615,,,0.76942,
E506_405,,0.50627,,
E1928_143,,0.17794000000000001,,
E1678_527,,0.65915,,
E843_73,,0.09022999999999999,,
E893_611,,,,0.76441
E261_655,,0.81955,,
E835_333,,,0.41603999999999997,
E546_37,,0.045110000000000004,,
E905_261,,,0.32581,
E1138_200,,0.24936999999999998,,
E786_232,,,0.28947,
E333_101,,0.12531,,
E351_576,,,0.72055,
E1491_717,,,0.8972399999999999,
E1688_750,,0.9386,,
E879_403,,0.50376,,
E1486_676,0.8458600000000001,,,
E1438_237,,0.29574,,
E435_707,,,,0.88471
E1820_157,0.19549,,,
E1243_639,0.7995,,,
E725_732,,0.91604,,
E828_401,0.50125,,,
E1938_763,,0.95489,,
E746_119,,,0.14787,
E101_343,,0.42857,,
E1185_530,,,,0.66291
E84_764,,,0.95614,
E1921_426,,,0.53258,
E1173_389,,0.48622,,
E1111_694,,,0.8684200000000001,
E1421_739,,,,0.92481
E872_16,,,0.0188,
E901_70,,0.08647,,
E1144_117,,0.14536,,
E727_345,,,0.43108,
E1562_473,,,0.59148,
E336_488,,0.61028,,
E1022_697,,,0.87218,
E99_340,,0.42481,,
E1403_382,,0.47744,,
E138_311,,0.38847,,
E1381_374,0.46742,,,
E1360_517,,0.64662,,
E1092_376,0.46992,,,
E949_484,,0.60526,,
E1316_491,,0.6140399999999999,,
E1922_749,,0.93734,,
E1776_269,,,0.33584,
E622_766,,0.95865,,
E1841_125,,0.15539,,
E557_147,,0.18295999999999998,,
E92_429,,,0.5363399999999999,
E1629_312,,,0.38971999999999996,
E1035_506,,0.63283,,
E389_241,,,0.30075,
E955_387,,0.48371000000000003,,
E898_736,,0.92105,,
E642_74,,0.09147999999999999,,
E826_278,0.34712,,,
E1133_789,,0.9874700000000001,,
E1713_328,,,0.40976999999999997,
E784_46,0.056389999999999996,,,
E1804_129,,0.1604,,
E196_450,,0.56266,,
E473_453,,,0.56642,
E1797_424,,0.53008,,
E457_577,,,0.7218,
E440_711,,,,0.8897200000000001
E1086_638,,0.79825,,
E923_224,,,0.27945,
E10_40,,0.04887,,
E1268_606,,0.75815,,
E1239_537,,0.67168,,
E1066_203,,,0.25313,
E562_59,,,0.07268,
E1738_144,,0.1792,,
E765_82,,0.1015,,
E529_369,,,0.46115,
E920_171,,0.21303000000000002,,
E631_193,,0.2406,,
E353_230,,0.28697,,
E287_218,,0.27193,,
E235_793,,0.9924799999999999,,
E1899_192,,,,0.23935
E195_471,0.58897,,,
E1849_503,,,0.62907,
E1361_711,,0.8897200000000001,,
E894_77,,,,0.09523999999999999
E1634_655,,0.81955,,
E102_673,,0.84211,,
E1923_636,,,,0.79574
E142_109,,,,0.13534000000000002
E1716_282,,0.35213,,
E40_678,0.8483700000000001,,,
E1647_368,0.4599,,,
E1067_713,,0.89223,,
E33_255,,0.3183,,
E1664_125,0.15539,,,
E1896_779,,,0.9749399999999999,
E752_464,,,0.5802,
E266_581,,0.72682,,
E188_129,,0.1604,,
E1563_573,,0.7167899999999999,,
E652_442,,,0.5526300000000001,
E1276_469,0.5864699999999999,,,
E1745_1,,0.0,,
E1040_299,,,,0.37343000000000004
E753_540,,,,0.6754399999999999
E1004_767,,,0.9599,
E759_219,0.27318000000000003,,,
E1946_448,0.56015,,,
E1050_778,,0.9736799999999999,,
E1953_767,,0.9599,,
E1865_472,,0.59023,,
E1018_71,,,0.08772,
E1877_242,,0.30201,,
E994_88,,,,0.10902
E1663_402,0.50251,,,
E387_370,,,0.46241000000000004,
E803_666,0.8333299999999999,,,
E945_687,,,,0.85965
E176_369,,0.46115,,
E1420_524,,0.6553899999999999,,
E1824_381,,0.47618999999999995,,
E1814_502,,0.6278199999999999,,
E222_555,0.69424,,,
E858_608,,,0.76065,
E1548_92,,0.11404,,
E1041_121,,0.15037999999999999,,
E1963_527,,,,0.65915
E1604_633,0.79198,,,
E1049_377,,0.47118000000000004,,
E1572_674,,0.84336,,
E1013_155,,0.19297999999999998,,
E80_303,,0.37845,,
E1062_442,,,,0.5526300000000001
E1599_266,,0.33208000000000004,,
E926_291,0.36341,,,
E874_623,,,0.77945,
E1513_405,,,0.50627,
E379_442,,,,0.5526300000000001
E1097_507,,0.6340899999999999,,
E1210_324,,,,0.40476
E1163_227,,,0.28321,
E292_317,,0.39599,,
E1396_768,,,,0.96115
E1470_733,,,0.9172899999999999,
E750_729,,0.91228,,
E513_126,,,0.15664,
E1624_532,,0.6654100000000001,,
E969_182,,,,0.22682
E1696_483,,,0.60401,
E1235_148,,0.18420999999999998,,
E866_91,,,0.11277999999999999,
E1646_453,,,,0.56642
E1121_766,,,,0.95865
E211_570,,0.71303,,
E1385_193,,0.2406,,
E458_722,,,0.90351,
E1026_733,,,,0.9172899999999999
E1987_511,,,0.6391,
E59_737,,0.9223100000000001,,
E9_405,0.50627,,,
E1397_562,,0.70301,,
E1017_621,,0.77694,,
E1743_421,,0.52632,,
E1346_342,0.42732,,,
E1318_403,,0.50376,,
E1350_578,0.72306,,,
E808_275,0.34336,,,
E1566_134,,0.16667,,
E96_328,,0.40976999999999997,,
E208_76,,0.09398,,
E589_688,,0.8609,,
E549_475,,,0.5939800000000001,
E450_268,,,0.33459,
E1505_361,,0.45113000000000003,,
E1825_192,,0.23935,,
E416_20,,0.023809999999999998,,
E1290_117,,,0.14536,
E268_73,,0.09022999999999999,,
E1222_525,,,,0.65664
E1573_758,,0.94862,,
E1314_235,,0.29323,,
