,PseudoTime1,PseudoTime2
E761_738,0.92356,
E15_398,,0.49749
E497_487,,0.60902
E1575_752,0.9411,
E1551_145,0.18045,
E1713_251,0.31328,
E386_765,,0.95739
E157_771,,0.96491
E1898_344,,0.42982
E55_622,0.7782,
E884_665,,0.8320799999999999
E1196_416,0.52005,
E376_646,0.8082699999999999,
E1224_494,,0.61779
E1061_464,0.5802,
E1013_497,,0.62155
E1804_320,0.39975,
E771_798,,0.99875
E1786_429,0.5363399999999999,
E1145_128,,0.15915
E431_127,0.15789,
E1437_770,,0.9636600000000001
E1506_606,,0.75815
E1723_107,0.13283,
E1229_157,0.19549,
E138_3,,0.00251
E1948_29,0.035089999999999996,
E102_122,0.15163,
E1598_486,0.60777,
E276_133,0.16541,
E681_425,,0.53133
E1245_593,0.74185,
E1089_418,0.52256,
E503_364,0.45488999999999996,
E1443_602,0.75313,
E1118_692,0.8659100000000001,
E1985_209,0.26065,
E1264_107,0.13283,
E1133_744,,0.9310799999999999
E1325_106,0.13158,
E1673_250,,0.31203000000000003
E449_778,0.9736799999999999,
E9_615,,0.76942
E921_356,,0.44486000000000003
E1572_314,0.39223,
E220_111,,0.13784000000000002
E1728_200,0.24936999999999998,
E1261_709,0.8872200000000001,
E1296_607,,0.7594
E1662_255,0.3183,
E1097_776,0.9711799999999999,
E684_611,,0.76441
E1253_548,,0.6854600000000001
E21_60,,0.07393
E224_294,,0.36717
E1359_276,0.34460999999999997,
E1885_1,0.0,
E1329_231,,0.28822
E980_296,,0.36967
E733_379,,0.47368000000000005
E1319_567,0.70927,
E1846_28,0.03383,
E4_410,0.51253,
E861_400,0.5,
E1830_532,,0.6654100000000001
E1350_462,0.5776899999999999,
E1920_417,0.5213,
E284_133,,0.16541
E865_137,0.17043,
E1644_363,,0.45363000000000003
E1643_637,0.79699,
E839_404,0.5050100000000001,
E56_201,,0.25063
E1226_589,0.7368399999999999,
E1091_349,,0.43609
E134_642,,0.8032600000000001
E577_161,0.2005,
E517_748,,0.93609
E979_798,0.99875,
E1515_693,0.8671700000000001,
E1841_724,,0.90602
E1911_201,,0.25063
E608_142,,0.17669
E1708_251,,0.31328
E838_685,0.85714,
E532_167,0.20801999999999998,
E1769_499,,0.6240600000000001
E1046_361,0.45113000000000003,
E1799_293,,0.36591
E1100_244,0.30451,
E922_734,0.91855,
E1653_543,,0.6792
E1645_794,,0.9937299999999999
E1779_725,0.90727,
E106_771,,0.96491
E1839_448,0.56015,
E559_54,0.06642,
E169_73,0.09022999999999999,
E1294_433,0.54135,
E1847_366,0.45738999999999996,
E666_691,0.86466,
E1096_419,0.52381,
E216_617,,0.77193
E1490_421,0.52632,
E494_425,0.53133,
E1200_507,0.6340899999999999,
E579_522,0.65288,
E1251_325,0.40602,
E1084_133,0.16541,
E11_102,0.12657000000000002,
E483_93,,0.11529
E482_324,0.40476,
E1517_70,0.08647,
E644_788,,0.9862200000000001
E231_144,0.1792,
E694_239,,0.29825
E1480_91,0.11277999999999999,
E1542_578,,0.72306
E1007_752,,0.9411
E1512_190,,0.23684000000000002
E1883_2,,0.00125
E1192_66,0.08145,
E1674_768,,0.96115
E1530_525,,0.65664
E359_19,0.02256,
E1332_188,,0.23434000000000002
E663_342,,0.42732
E1461_594,,0.74311
E1478_372,0.46491000000000005,
E1691_338,0.42231,
E1474_246,0.30701999999999996,
E366_19,,0.02256
E1343_648,0.8107800000000001,
E1447_543,0.6792,
E855_553,,0.6917300000000001
E971_429,,0.5363399999999999
E1156_452,0.56516,
E958_267,,0.33333
E1900_447,,0.5589
E997_592,0.7406,
E1907_194,0.24185,
E0_228,,0.28446
E911_173,0.21554,
E241_738,,0.92356
E454_67,0.08271,
E353_368,0.4599,
E693_758,,0.94862
E467_78,0.09648999999999999,
E1456_433,0.54135,
E1760_72,0.08897000000000001,
E1009_62,0.07644,
E1891_696,,0.87093
E892_597,0.74687,
E645_640,,0.80075
E60_730,,0.91353
E703_353,0.4411,
E1364_231,,0.28822
E94_150,,0.18672
E1622_473,0.59148,
E375_343,0.42857,
E1464_307,0.38345999999999997,
E1693_699,,0.87469
E161_621,,0.77694
E520_107,,0.13283
E368_607,0.7594,
E1820_172,0.21429,
E295_425,0.53133,
E226_485,0.60652,
E1912_200,0.24936999999999998,
E1931_80,0.099,
E1358_623,0.77945,
E725_371,0.46366,
E1205_138,0.17168,
E1526_760,,0.9511299999999999
E567_162,0.20175,
E1679_518,,0.64787
E196_568,,0.71053
E1173_235,,0.29323
E332_188,0.23434000000000002,
E576_562,,0.70301
E1508_158,,0.19674
E1522_625,0.78195,
E1854_83,,0.10275999999999999
E952_443,0.55388,
E776_722,,0.90351
E973_155,0.19297999999999998,
E1190_219,0.27318000000000003,
E845_663,0.82957,
E1970_22,0.02632,
E1410_11,0.01253,
E493_336,0.4198,
E1276_476,0.59524,
E1446_79,0.09774,
E961_438,,0.54762
E185_572,0.71554,
E1995_365,0.45614,
E212_562,,0.70301
E1220_545,0.6817,
E1939_85,0.10525999999999999,
E1059_200,0.24936999999999998,
E345_735,0.9198,
E1890_404,,0.5050100000000001
E252_629,,0.78697
E135_602,,0.75313
E1124_664,0.83083,
E682_664,0.83083,
E786_388,,0.48496000000000006
E1842_457,0.57143,
E10_752,0.9411,
E601_766,,0.95865
E382_272,,0.3396
E1074_364,,0.45488999999999996
E667_792,0.9912299999999999,
E915_192,,0.23935
E1550_170,0.21178000000000002,
E1982_756,0.9461200000000001,
E802_733,0.9172899999999999,
E953_178,0.2218,
E264_729,,0.91228
E57_181,0.22555999999999998,
E245_145,0.18045,
E736_515,0.6441100000000001,
E616_313,0.39098,
E291_685,,0.85714
E1238_72,0.08897000000000001,
E788_599,,0.74937
E1904_179,0.22305999999999998,
E1170_110,0.13659000000000002,
E950_662,,0.8283200000000001
E1065_763,,0.95489
E1648_107,0.13283,
E109_203,0.25313,
E783_749,,0.93734
E1361_721,0.9022600000000001,
E1717_221,,0.27569
E1169_92,,0.11404
E1546_640,,0.80075
E1021_799,,1.0
E1223_566,,0.70802
E1077_733,0.9172899999999999,
E1030_513,0.6416,
E721_519,,0.64912
E1221_425,,0.53133
E713_751,0.93985,
E549_223,0.2782,
E243_541,0.67669,
E1731_468,,0.58521
E1201_164,,0.20426
E38_160,0.19925,
E1593_454,0.56767,
E1955_290,,0.36216
E1742_58,,0.07143
E239_732,,0.91604
E1233_543,0.6792,
E1034_441,0.55138,
E1387_483,,0.60401
E408_311,0.38847,
E813_787,0.9849600000000001,
E880_447,0.5589,
E537_642,0.8032600000000001,
E39_789,0.9874700000000001,
E1730_625,0.78195,
E1152_726,0.9085200000000001,
E591_228,,0.28446
E1894_171,0.21303000000000002,
E47_79,0.09774,
E81_764,0.95614,
E1737_713,,0.89223
E1079_150,,0.18672
E938_415,0.5188,
E1263_284,0.35464,
E1288_748,,0.93609
E981_669,,0.83709
E1372_628,,0.78571
E158_791,,0.9899700000000001
E458_418,,0.52256
E640_453,0.56642,
E863_178,,0.2218
E1468_214,0.26692,
E562_357,0.44611999999999996,
E1807_562,0.70301,
E1623_641,0.80201,
E596_560,0.7005,
E1241_183,0.22807,
E424_484,0.60526,
E1544_300,0.37469,
E675_464,,0.5802
E1177_245,,0.30576
E411_77,,0.09523999999999999
E1587_380,0.47494,
E634_679,0.84962,
E1069_165,,0.20551
E1299_218,,0.27193
E1305_683,,0.85464
E91_178,0.2218,
E547_151,0.18797,
E466_16,,0.0188
E103_390,,0.48746999999999996
E1539_556,,0.6954899999999999
E141_277,,0.34586
E1219_751,0.93985,
E1596_525,0.65664,
E101_789,0.9874700000000001,
E1745_72,0.08897000000000001,
E1401_396,0.49499,
E949_496,,0.6203
E361_670,,0.83835
E803_483,,0.60401
E156_207,,0.25815
E485_661,,0.8270700000000001
E1282_685,0.85714,
E586_794,,0.9937299999999999
E1183_71,,0.08772
E674_791,,0.9899700000000001
E62_264,,0.32957
E641_634,,0.79323
E995_421,0.52632,
E1937_526,0.65789,
E531_475,0.5939800000000001,
E1247_641,0.80201,
E1657_621,0.77694,
E1756_174,0.21679,
E175_645,0.80702,
E1652_455,,0.56892
E605_619,0.77444,
E987_184,0.22931999999999997,
E1115_341,0.42607,
E1228_148,,0.18420999999999998
E1369_469,,0.5864699999999999
E1157_744,0.9310799999999999,
E668_156,,0.19424
E365_276,,0.34460999999999997
E1678_262,,0.32706999999999997
E905_184,,0.22931999999999997
E1462_421,,0.52632
E1026_569,0.71178,
E358_664,0.83083,
E1763_42,0.051379999999999995,
E530_560,,0.7005
E269_424,0.53008,
E142_194,,0.24185
E1964_794,0.9937299999999999,
E1463_41,,0.05013
E1617_164,0.20426,
E793_344,,0.42982
E752_332,0.41478999999999994,
E206_509,0.63659,
E1451_579,0.72431,
E323_666,,0.8333299999999999
E709_210,,0.2619
E1458_236,0.29449000000000003,
E422_25,0.030080000000000003,
E1487_696,0.87093,
E1058_103,0.12782000000000002,
E1949_169,0.21053000000000002,
E679_543,0.6792,
