,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E1174_20,0.023809999999999998,,,
E1903_8,,,,0.00877
E129_380,0.47494,,,
E680_716,0.89599,,,
E1833_517,,,0.64662,
E694_352,,,,0.43985
E834_279,,,,0.34836999999999996
E1102_88,0.10902,,,
E391_772,0.9661700000000001,,,
E644_1,0.0,,,
E1536_390,,0.48746999999999996,,
E1393_431,,,,0.53885
E1413_560,0.7005,,,
E439_692,,,0.8659100000000001,
E1883_580,0.72556,,,
E805_367,,,0.45865,
E156_444,,0.55514,,
E455_783,,,0.97995,
E11_458,,0.57268,,
E435_113,,,,0.14035
E1244_755,,0.94486,,
E779_84,,0.10400999999999999,,
E1704_280,,0.34962,,
E1505_233,0.29073000000000004,,,
E836_720,0.9009999999999999,,,
E1570_103,0.12782000000000002,,,
E433_435,,,,0.54386
E1852_403,0.50376,,,
E1630_748,0.93609,,,
E55_99,,,0.12280999999999999,
E1980_448,0.56015,,,
E197_127,0.15789,,,
E960_26,,,0.031330000000000004,
E77_659,,,0.8245600000000001,
E1100_475,,,0.5939800000000001,
E315_788,0.9862200000000001,,,
E6_743,,,0.9298200000000001,
E216_477,0.59649,,,
E1194_344,0.42982,,,
E1196_129,,,0.1604,
E1640_460,,,0.57519,
E308_33,0.0401,,,
E113_27,,,0.03258,
E1508_244,,,0.30451,
E1533_241,,,0.30075,
E582_350,0.43733999999999995,,,
E1070_772,,,0.9661700000000001,
E661_205,,,0.25564000000000003,
E981_260,,,0.32456,
E891_702,,,0.87845,
E74_665,,0.8320799999999999,,
E1953_223,0.2782,,,
E1046_41,0.05013,,,
E630_59,0.07268,,,
E1307_598,,,0.74812,
E1586_18,,0.0213,,
E258_211,,,0.26316,
E68_493,0.61654,,,
E655_644,0.80576,,,
E136_75,,,0.09272999999999999,
E1003_777,0.9724299999999999,,,
E438_49,,,0.06015,
E349_144,,,0.1792,
E900_594,,0.74311,,
E1582_318,0.39724,,,
E1807_498,,,,0.6228100000000001
E1934_368,0.4599,,,
E660_325,,,0.40602,
E1049_503,0.62907,,,
E1978_523,0.6541399999999999,,,
E282_29,0.035089999999999996,,,
E222_427,,0.53383,,
E111_98,,,0.12155,
E1579_773,0.9674200000000001,,,
E497_323,0.40351,,,
E617_146,0.1817,,,
E1128_38,,,0.04637,
E382_625,,,,0.78195
E1633_456,,,,0.57018
E785_485,,,0.60652,
E962_379,,0.47368000000000005,,
E207_40,,0.04887,,
E1068_545,0.6817,,,
E1320_429,0.5363399999999999,,,
E1195_639,,,,0.7995
E40_297,0.37093000000000004,,,
E1919_402,,,0.50251,
E1990_733,0.9172899999999999,,,
E793_257,0.3208,,,
E344_438,0.54762,,,
E355_728,,,0.9110299999999999,
E887_214,,0.26692,,
E1503_651,0.8145399999999999,,,
E10_531,,0.6641600000000001,,
E1412_279,,,0.34836999999999996,
E325_554,,,0.69298,
E46_47,0.05764,,,
E375_188,,,0.23434000000000002,
E1029_772,0.9661700000000001,,,
E567_327,0.40852,,,
E1720_206,0.25689,,,
E103_560,0.7005,,,
E377_30,0.03634,,,
E547_397,,,0.49623999999999996,
E157_733,0.9172899999999999,,,
E896_73,0.09022999999999999,,,
E1234_266,,,,0.33208000000000004
E1724_294,,,,0.36717
E1441_120,0.14912,,,
E460_552,0.69048,,,
E420_375,,,0.46867,
E364_377,,0.47118000000000004,,
E894_65,,,0.0802,
E764_157,,,,0.19549
E948_556,,,0.6954899999999999,
E1099_685,,,,0.85714
E430_46,,,0.056389999999999996,
E1188_265,0.33083,,,
E1507_523,0.6541399999999999,,,
E666_534,0.66792,,,
E356_791,,0.9899700000000001,,
E1895_260,,,0.32456,
E851_419,,,0.52381,
E720_668,0.8358399999999999,,,
E404_539,,,0.67419,
E610_91,0.11277999999999999,,,
E134_708,,0.8859600000000001,,
E110_27,0.03258,,,
E1580_76,,,0.09398,
E698_313,,,0.39098,
E1761_767,,,,0.9599
E452_122,,,,0.15163
E750_684,,0.8558899999999999,,
E701_660,,,0.82581,
E51_715,,,0.89474,
E186_575,,,,0.7193
E434_46,,,0.056389999999999996,
E345_253,,,0.31579,
E1290_522,,,0.65288,
E1823_318,,,0.39724,
E237_148,,0.18420999999999998,,
E1006_145,,,0.18045,
E954_640,,,0.80075,
E857_294,,,,0.36717
E1499_194,,,0.24185,
E402_705,0.88221,,,
E1449_425,,,0.53133,
E1023_654,0.8183,,,
E699_539,0.67419,,,
E835_723,,,0.90476,
E1568_749,,,0.93734,
E1258_418,,,0.52256,
E803_403,,,0.50376,
E1509_536,,0.67043,,
E1897_163,,0.20301,,
E1778_698,,,,0.8734299999999999
E422_65,,,0.0802,
E872_434,,,0.54261,
E28_541,0.67669,,,
E1300_648,0.8107800000000001,,,
E1788_772,,,,0.9661700000000001
E1775_428,0.53509,,,
E858_702,0.87845,,,
E1886_571,,,0.71429,
E339_470,0.58772,,,
E268_797,0.99749,,,
E1213_230,,,,0.28697
E1806_362,,0.45238,,
E1915_506,0.63283,,,
E283_175,,0.21805,,
E1382_116,0.14411,,,
E1184_462,,,0.5776899999999999,
E1150_361,0.45113000000000003,,,
E167_90,0.11152999999999999,,,
E1309_608,0.76065,,,
E228_265,,,0.33083,
E1614_621,0.77694,,,
E744_427,,,0.53383,
E1179_361,,0.45113000000000003,,
E965_222,0.27694,,,
E85_288,0.35965,,,
E1377_244,0.30451,,,
E1856_174,0.21679,,,
E388_697,,,0.87218,
E47_108,,0.13409000000000001,,
E831_733,0.9172899999999999,,,
E782_637,0.79699,,,
E758_785,0.98246,,,
E1844_189,0.23559000000000002,,,
E1480_353,,,0.4411,
E1910_14,,,,0.01629
E1143_609,,,0.7619,
E792_412,,,0.5150399999999999,
E939_665,0.8320799999999999,,,
E784_244,0.30451,,,
E683_549,0.68672,,,
E446_793,,0.9924799999999999,,
E1804_515,,,0.6441100000000001,
E1875_371,,,,0.46366
E215_75,0.09272999999999999,,,
E300_368,0.4599,,,
E1993_291,,,0.36341,
E1851_310,,,0.38722,
E902_754,,,0.9436100000000001,
E1389_629,0.78697,,,
E1486_782,0.9787,,,
E203_612,0.76566,,,
E1433_128,,,,0.15915
E1348_77,,,0.09523999999999999,
E1876_9,,,0.010029999999999999,
E723_219,0.27318000000000003,,,
E1388_108,,,0.13409000000000001,
E1608_212,,,0.26441,
E127_226,0.28195,,,
E1998_723,0.90476,,,
E1007_761,,0.9523799999999999,,
E1403_282,,,0.35213,
E514_1,,,0.0,
E1549_436,,,,0.54511
E890_587,,,0.73434,
E1808_82,,,0.1015,
E62_703,0.8797,,,
E376_245,0.30576,,,
E1139_540,0.6754399999999999,,,
E989_353,0.4411,,,
E397_339,,,0.42356000000000005,
E583_743,,,,0.9298200000000001
E423_575,,,,0.7193
E1094_644,,,,0.80576
E1790_403,,,0.50376,
E299_477,0.59649,,,
E1406_562,0.70301,,,
E853_269,0.33584,,,
E1152_96,0.11905,,,
E1969_765,,,,0.95739
E1590_24,,,0.02882,
E903_225,0.2807,,,
E425_732,,,0.91604,
E2_190,,,0.23684000000000002,
E1326_612,,,0.76566,
E1118_600,0.75063,,,
E1282_408,0.51003,,,
E1394_754,,,0.9436100000000001,
E540_293,0.36591,,,
E799_658,,0.82331,,
E1917_93,0.11529,,,
E600_725,0.90727,,,
E100_306,0.38221,,,
E199_364,0.45488999999999996,,,
E1735_470,,,0.58772,
E1422_626,,,0.7832100000000001,
E163_379,,0.47368000000000005,,
E1187_654,,0.8183,,
E201_30,,,,0.03634
E1830_137,,0.17043,,
E1344_145,0.18045,,,
E72_119,,0.14787,,
E1671_582,,0.72807,,
E500_682,,,0.8533799999999999,
E1784_484,0.60526,,,
E63_85,,,0.10525999999999999,
E301_492,,0.61529,,
E1878_186,0.23183,,,
E1321_345,,,0.43108,
E1464_736,0.92105,,,
E558_440,0.55013,,,
E1255_284,,0.35464,,
E1838_164,,,0.20426,
E1323_377,0.47118000000000004,,,
E481_588,,,0.73559,
